   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   16.026   16.057   16.057    0.996    0.027    1.026    0.996    0.027    0.028    1.022    0.027    1.022    0.511
   0.05   15.757   15.786   15.788    0.958   -0.229    0.757    0.958   -0.229   -0.173    0.725   -0.219    0.771    0.388
   0.10   15.955   15.978   15.979    0.842   -0.207    0.955    0.842   -0.207   -0.198    0.805   -0.175    0.833    0.423
   0.15   15.908   15.923   15.929    0.696   -0.421    0.908    0.696   -0.421   -0.382    0.632   -0.293    0.743    0.397
   0.20   15.701   15.726   15.738    0.886   -0.605    0.701    0.886   -0.605   -0.424    0.621   -0.536    0.821    0.462
   0.25   15.857   15.886   15.896    0.957   -0.561    0.857    0.957   -0.561   -0.480    0.820   -0.537    0.982    0.546
   0.30   16.033   16.055   16.070    0.834   -0.687    1.033    0.834   -0.687   -0.710    0.862   -0.573    1.118    0.628
   0.35   15.910   15.949   15.963    1.107   -0.679    0.910    1.107   -0.679   -0.618    1.007   -0.752    1.258    0.700
   0.40   15.821   15.835   15.848    0.668   -0.656    0.821    0.668   -0.656   -0.539    0.549   -0.439    0.775    0.443
   0.45   15.834   15.846   15.852    0.613   -0.463    0.834    0.613   -0.463   -0.386    0.511   -0.283    0.642    0.350
   0.50   15.763   15.796   15.805    1.023   -0.526    0.763    1.023   -0.526   -0.402    0.780   -0.538    0.952    0.515
   0.55   15.815   15.826   15.838    0.591   -0.607    0.815    0.591   -0.607   -0.495    0.482   -0.359    0.691    0.389
   0.60   16.039   16.049   16.065    0.566   -0.719    1.039    0.566   -0.719   -0.747    0.588   -0.407    0.958    0.517
   0.65   15.706   15.718   15.719    0.612   -0.137    0.706    0.612   -0.137   -0.097    0.432   -0.084    0.446    0.225
   0.70   16.027   16.040   16.040    0.640    0.083    1.027    0.640    0.083    0.085    0.657    0.053    0.736    0.333
   0.75   15.893   15.902   15.903    0.525    0.158    0.893    0.525    0.158    0.141    0.469    0.083    0.549    0.248
   0.80   16.035   16.035   16.037    0.016    0.236    1.035    0.016    0.236    0.244    0.017    0.004    0.564    0.122
   0.85   16.085   16.087   16.087    0.234   -0.003    1.085    0.234   -0.003   -0.003    0.253   -0.001    0.616    0.127
   0.90   16.063   16.074   16.074    0.594    0.092    1.063    0.594    0.092    0.097    0.631    0.054    0.746    0.321
   0.95   16.260   16.283   16.283    0.873   -0.108    1.260    0.873   -0.108   -0.136    1.100   -0.094    1.181    0.556
   1.00   16.185   16.204   16.205    0.800    0.172    1.185    0.800    0.172    0.204    0.948    0.138    1.037    0.490
