   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   15.904   15.930   15.932    0.911   -0.227   -2.096    0.911   -0.227    0.476   -1.910   -0.207    2.638    0.990
   0.05   16.023   16.043   16.045    0.801   -0.259   -1.977    0.801   -0.259    0.511   -1.584   -0.207    2.309    0.839
   0.10   16.090   16.114   16.114    0.870   -0.137   -1.910    0.870   -0.137    0.261   -1.661   -0.119    2.211    0.843
   0.15   16.326   16.351   16.351    0.913    0.042   -1.674    0.913    0.042   -0.070   -1.529    0.038    1.820    0.766
   0.20   16.345   16.363   16.363    0.750    0.026   -1.655    0.750    0.026   -0.043   -1.241    0.019    1.650    0.621
   0.25   16.446   16.470   16.470    0.873   -0.153   -1.554    0.873   -0.153    0.237   -1.356   -0.133    1.599    0.692
   0.30   16.687   16.699   16.699    0.633   -0.071   -1.313    0.633   -0.071    0.093   -0.831   -0.045    1.065    0.419
   0.35   16.560   16.576   16.578    0.721    0.230   -1.440    0.721    0.230   -0.332   -1.038    0.166    1.323    0.551
   0.40   16.495   16.512   16.515    0.751    0.331   -1.505    0.751    0.331   -0.498   -1.131    0.249    1.470    0.630
   0.45   16.759   16.784   16.791    0.912    0.508   -1.241    0.912    0.508   -0.630   -1.132    0.463    1.315    0.688
   0.50   16.566   16.617   16.635    1.292    0.787   -1.434    1.292    0.787   -1.129   -1.852    1.017    2.172    1.198
   0.55   16.610   16.653   16.664    1.191    0.608   -1.390    1.191    0.608   -0.845   -1.655    0.724    1.859    0.997
   0.60   16.803   16.829   16.841    0.933    0.644   -1.197    0.933    0.644   -0.770   -1.117    0.600    1.359    0.742
   0.65   16.659   16.697   16.706    1.135    0.539   -1.341    1.135    0.539   -0.723   -1.522    0.612    1.689    0.896
   0.70   16.558   16.591   16.594    1.054    0.329   -1.442    1.054    0.329   -0.475   -1.521    0.347    1.650    0.815
   0.75   16.402   16.446   16.446    1.195    0.083   -1.598    1.195    0.083   -0.133   -1.909    0.099    1.993    0.958
   0.80   16.374   16.414   16.415    1.143    0.154   -1.626    1.143    0.154   -0.250   -1.859    0.176    1.987    0.942
   0.85   16.290   16.316   16.317    0.930    0.093   -1.710    0.930    0.093   -0.160   -1.591    0.087    1.899    0.801
   0.90   16.680   16.708   16.712    0.966    0.368   -1.320    0.966    0.368   -0.486   -1.274    0.355    1.405    0.705
   0.95   16.606   16.625   16.631    0.778    0.477   -1.394    0.778    0.477   -0.665   -1.084    0.371    1.388    0.663
   1.00   16.398   16.421   16.431    0.868    0.576   -1.602    0.868    0.576   -0.923   -1.391    0.500    1.826    0.871
   1.05   16.290   16.305   16.310    0.685    0.418   -1.710    0.685    0.418   -0.715   -1.172    0.287    1.784    0.701
   1.10   16.275   16.293   16.300    0.766    0.460   -1.725    0.766    0.460   -0.794   -1.322    0.353    1.888    0.791
   1.15   16.246   16.257   16.259    0.615    0.192   -1.754    0.615    0.192   -0.337   -1.079    0.118    1.746    0.568
   1.20   16.134   16.149   16.151    0.696    0.239   -1.866    0.696    0.239   -0.446   -1.300    0.166    2.012    0.692
   1.25   16.151   16.180   16.180    0.954    0.146   -1.849    0.954    0.146   -0.270   -1.763    0.139    2.174    0.895
   1.30   16.117   16.131   16.132    0.664    0.217   -1.883    0.664    0.217   -0.409   -1.249    0.144    2.017    0.661
