   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   15.597   15.611   15.613    0.663   -0.259   -1.403    0.663   -0.259    0.363   -0.931   -0.172    1.238    0.507
   0.05   15.348   15.355   15.357    0.449    0.268   -1.652    0.449    0.268   -0.442   -0.742    0.120    1.501    0.436
   0.10   15.216   15.233   15.233    0.710   -0.109   -1.784    0.710   -0.109    0.195   -1.266   -0.078    1.849    0.642
   0.15   15.433   15.446   15.446    0.638   -0.120   -1.567    0.638   -0.120    0.187   -1.000   -0.076    1.439    0.510
   0.20   15.721   15.722   15.725    0.215   -0.277   -1.279    0.215   -0.277    0.354   -0.275   -0.059    0.879    0.226
   0.25   16.103   16.103   16.107    0.029   -0.386   -0.897    0.029   -0.386    0.347   -0.026   -0.011    0.478    0.174
   0.30   15.779   15.780   15.782   -0.088   -0.261   -1.221   -0.088   -0.261    0.319    0.107    0.023    0.783    0.169
   0.35   15.279   15.279   15.282    0.009   -0.294   -1.721    0.009   -0.294    0.507   -0.015   -0.003    1.524    0.253
   0.40   15.089   15.089   15.093   -0.008   -0.364   -1.911   -0.008   -0.364    0.696    0.016    0.003    1.893    0.348
   0.45   14.862   14.862   14.871    0.076   -0.510   -2.138    0.076   -0.510    1.090   -0.162   -0.039    2.419    0.551
   0.50   14.182   14.183   14.184   -0.175   -0.215   -2.818   -0.175   -0.215    0.607    0.492    0.038    4.010    0.391
   0.55   14.906   14.908   14.908   -0.260    0.099   -2.094   -0.260    0.099   -0.206    0.545   -0.026    2.232    0.292
   0.60   14.861   14.861   14.863   -0.152    0.212   -2.139   -0.152    0.212   -0.453    0.325   -0.032    2.322    0.279
   0.65   14.928   14.934   14.934   -0.422   -0.006   -2.072   -0.422   -0.006    0.013    0.874    0.003    2.235    0.437
   0.70   14.862   14.873   14.874   -0.552   -0.198   -2.138   -0.552   -0.198    0.423    1.180    0.109    2.457    0.629
   0.75   14.627   14.629   14.634   -0.197   -0.393   -2.373   -0.197   -0.393    0.932    0.467    0.077    2.912    0.523
   0.80   14.684   14.687   14.700   -0.303   -0.618   -2.316   -0.303   -0.618    1.432    0.702    0.187    2.920    0.803
   0.85   14.666   14.667   14.707    0.142   -1.075   -2.334    0.142   -1.075    2.509   -0.332   -0.153    3.311    1.268
   0.90   14.648   14.660   14.710    0.585   -1.218   -2.352    0.585   -1.218    2.864   -1.376   -0.712    3.679    1.628
   0.95   14.440   14.441   14.474    0.204   -0.973   -2.560    0.204   -0.973    2.490   -0.522   -0.198    3.771    1.276
   1.00   14.809   14.815   14.821   -0.411   -0.422   -2.191   -0.411   -0.422    0.924    0.900    0.173    2.574    0.651
   1.05   14.497   14.514   14.514   -0.706    0.002   -2.503   -0.706    0.002   -0.004    1.768   -0.001    3.382    0.884
   1.10   14.309   14.331   14.332   -0.805   -0.148   -2.691   -0.805   -0.148    0.400    2.168    0.120    3.957    1.104
   1.15   14.181   14.183   14.183   -0.181    0.016   -2.819   -0.181    0.016   -0.046    0.512   -0.003    3.989    0.257
   1.20   13.755   13.755   13.762    0.058    0.417   -3.245    0.058    0.417   -1.353   -0.189    0.024    5.353    0.683
   1.25   13.845   13.846   13.848    0.203    0.196   -3.155    0.203    0.196   -0.619   -0.642    0.040    5.017    0.446
   1.30   14.141   14.142   14.144   -0.192   -0.264   -2.859   -0.192   -0.264    0.756    0.550    0.051    4.141    0.468
   1.35   14.757   14.761   14.765   -0.363   -0.327   -2.243   -0.363   -0.327    0.734    0.814    0.119    2.635    0.551
   1.40   14.818   14.821   14.825   -0.297   -0.332   -2.182   -0.297   -0.332    0.724    0.647    0.098    2.479    0.488
   1.45   14.940   14.945   14.948   -0.408   -0.268   -2.060   -0.408   -0.268    0.553    0.840    0.109    2.241    0.506
   1.50   15.040   15.064   15.065   -0.853   -0.119   -1.960   -0.853   -0.119    0.232    1.671    0.101    2.291    0.845
   1.55   15.044   15.064   15.066   -0.778   -0.253   -1.956   -0.778   -0.253    0.494    1.522    0.197    2.247    0.806
   1.60   14.953   14.982   14.982   -0.938    0.046   -2.047   -0.938    0.046   -0.094    1.920   -0.043    2.536    0.961
   1.65   14.481   14.513   14.516   -0.968    0.270   -2.519   -0.968    0.270   -0.681    2.437   -0.262    3.677    1.272
   1.70   14.539   14.558   14.560   -0.752    0.213   -2.461   -0.752    0.213   -0.524    1.850   -0.160    3.335    0.965
   1.75   14.668   14.676   14.696   -0.477   -0.767   -2.332   -0.477   -0.767    1.790    1.113    0.366    3.127    1.070
   1.80   14.616   14.621   14.640   -0.347   -0.762   -2.384   -0.347   -0.762    1.817    0.826    0.264    3.191    1.007
   1.85   14.438   14.439   14.443   -0.121   -0.360   -2.562   -0.121   -0.360    0.922    0.309    0.043    3.354    0.487
   1.90   14.642   14.644   14.645   -0.281   -0.092   -2.358   -0.281   -0.092    0.217    0.662    0.026    2.825    0.348
   1.95   14.520   14.532   14.532   -0.589    0.003   -2.480   -0.589    0.003   -0.007    1.462   -0.002    3.250    0.731
   2.00   14.460   14.471   14.471   -0.559   -0.094   -2.540   -0.559   -0.094    0.239    1.421    0.053    3.387    0.721
   2.05   14.628   14.636   14.636   -0.479   -0.058   -2.372   -0.479   -0.058    0.137    1.136    0.028    2.929    0.572
   2.10   14.644   14.674   14.675   -0.936    0.201   -2.356   -0.936    0.201   -0.473    2.206   -0.188    3.234    1.132
   2.15   14.711   14.737   14.737   -0.882    0.060   -2.289   -0.882    0.060   -0.137    2.020   -0.053    3.011    1.013
   2.20   14.320   14.347   14.348   -0.876   -0.187   -2.680   -0.876   -0.187    0.501    2.347    0.164    3.991    1.203
   2.25   14.399   14.428   14.436   -0.904   -0.501   -2.601   -0.904   -0.501    1.304    2.352    0.453    3.916    1.363
   2.30   14.406   14.425   14.425   -0.747   -0.043   -2.594   -0.747   -0.043    0.113    1.939    0.032    3.646    0.971
   2.35   14.171   14.171   14.171   -0.081    0.044   -2.829   -0.081    0.044   -0.125    0.230   -0.004    4.006    0.131
   2.40   14.377   14.384   14.385    0.456    0.169   -2.623    0.456    0.169   -0.442   -1.197    0.077    3.558    0.639
   2.45   14.166   14.170   14.176    0.333    0.414   -2.834    0.333    0.414   -1.174   -0.944    0.138    4.158    0.756
   2.50   14.549   14.551   14.557    0.236    0.420   -2.451    0.236    0.420   -1.029   -0.580    0.099    3.121    0.593
   2.55   14.680   14.684   14.686    0.328    0.262   -2.320    0.328    0.262   -0.607   -0.761    0.086    2.780    0.489
   2.60   14.561   14.561   14.568    0.148    0.428   -2.439    0.148    0.428   -1.044   -0.360    0.063    3.078    0.553
   2.65   14.525   14.526   14.529   -0.185    0.315   -2.475   -0.185    0.315   -0.781    0.459   -0.058    3.131    0.454
   2.70   14.184   14.185   14.185   -0.081    0.061   -2.816   -0.081    0.061   -0.172    0.228   -0.005    3.969    0.143
   2.75   14.360   14.372   14.374   -0.585   -0.269   -2.640   -0.585   -0.269    0.710    1.543    0.157    3.693    0.853
   2.80   14.109   14.125   14.126   -0.681   -0.085   -2.891   -0.681   -0.085    0.247    1.970    0.058    4.415    0.993
   2.85   13.927   13.952   13.954   -0.846   -0.227   -3.073   -0.846   -0.227    0.697    2.601    0.192    5.106    1.350
   2.90   14.276   14.308   14.315   -0.954   -0.460   -2.724   -0.954   -0.460    1.254    2.599    0.439    4.272    1.460
   2.95   14.620   14.634   14.644   -0.636   -0.531   -2.380   -0.636   -0.531    1.265    1.512    0.338    3.175    1.000
   3.00   14.628   14.637   14.641   -0.511   -0.344   -2.372   -0.511   -0.344    0.817    1.212    0.176    3.003    0.736
   3.05   14.486   14.505   14.515   -0.729   -0.548   -2.514   -0.729   -0.548    1.378    1.832    0.399    3.575    1.164
   3.10   14.202   14.223   14.230   -0.776   -0.444   -2.798   -0.776   -0.444    1.242    2.171    0.344    4.313    1.262
   3.15   13.878   13.905   13.905   -0.870   -0.006   -3.122   -0.870   -0.006    0.020    2.717    0.005    5.254    1.359
   3.20   13.847   13.892   13.899   -1.108   -0.450   -3.153   -1.108   -0.450    1.420    3.492    0.499    5.685    1.901
   3.25   13.784   13.828   13.843   -1.095   -0.644   -3.216   -1.095   -0.644    2.070    3.522    0.705    5.977    2.073
   3.30   14.217   14.287   14.288   -1.408   -0.203   -2.783   -1.408   -0.203    0.565    3.917    0.286    4.883    1.984
   3.35   14.055   14.091   14.111   -1.011   -0.744   -2.945   -1.011   -0.744    2.190    2.978    0.752    5.124    1.886
   3.40   14.103   14.127   14.134   -0.819   -0.465   -2.897   -0.819   -0.465    1.348    2.371    0.381    4.639    1.377
   3.45   14.098   14.122   14.123   -0.827   -0.104   -2.902   -0.827   -0.104    0.301    2.401    0.086    4.558    1.211
   3.50   13.645   13.658   13.665   -0.610   -0.419   -3.355   -0.610   -0.419    1.406    2.045    0.256    5.902    1.248
   3.55   13.604   13.618   13.618   -0.615   -0.125   -3.396   -0.615   -0.125    0.425    2.088    0.077    5.964    1.066
   3.60   13.666   13.670   13.675   -0.312   -0.382   -3.334   -0.312   -0.382    1.275    1.039    0.119    5.678    0.824
   3.65   13.716   13.719   13.739   -0.322   -0.727   -3.284   -0.322   -0.727    2.386    1.056    0.234    5.709    1.310
   3.70   14.071   14.074   14.092   -0.284   -0.720   -2.929   -0.284   -0.720    2.109    0.831    0.204    4.589    1.138
   3.75   14.021   14.023   14.044   -0.266   -0.770   -2.979   -0.266   -0.770    2.295    0.794    0.205    4.770    1.218
   3.80   14.343   14.346   14.398   -0.254   -1.233   -2.657   -0.254   -1.233    3.275    0.675    0.313    4.321    1.679
   3.85   14.416   14.417   14.451   -0.176   -0.999   -2.584   -0.176   -0.999    2.582    0.455    0.176    3.854    1.314
   3.90   14.199   14.204   14.221    0.391   -0.695   -2.801    0.391   -0.695    1.947   -1.097   -0.272    4.241    1.125
   3.95   14.470   14.471   14.488    0.066   -0.712   -2.530    0.066   -0.712    1.800   -0.168   -0.047    3.455    0.904
   4.00   14.205   14.206   14.245   -0.161   -1.056   -2.795   -0.161   -1.056    2.953    0.450    0.170    4.478    1.496
   4.05   14.361   14.362   14.398    0.062   -1.022   -2.639    0.062   -1.022    2.697   -0.164   -0.064    4.005    1.351
   4.10   14.466   14.466   14.520    0.026   -1.247   -2.534    0.026   -1.247    3.159   -0.066   -0.032    3.987    1.580
