   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   12.351   12.370   12.371    0.689   -0.165   -1.649    0.689   -0.165    0.272   -1.136   -0.114    1.611    0.587
   0.05   12.436   12.451   12.453    0.609   -0.186   -1.564    0.609   -0.186    0.291   -0.953   -0.113    1.425    0.501
   0.10   12.485   12.502   12.503    0.658   -0.096   -1.515    0.658   -0.096    0.146   -0.997   -0.063    1.369    0.505
   0.15   12.654   12.673   12.673    0.689    0.034   -1.346    0.689    0.034   -0.046   -0.928    0.023    1.144    0.464
   0.20   12.668   12.681   12.681    0.572    0.025   -1.332    0.572    0.025   -0.033   -0.761    0.014    1.050    0.381
   0.25   12.741   12.758   12.758    0.659   -0.101   -1.259    0.659   -0.101    0.127   -0.830   -0.067    1.015    0.421
   0.30   12.913   12.922   12.922    0.487   -0.040   -1.087    0.487   -0.040    0.043   -0.529   -0.019    0.710    0.266
   0.35   12.823   12.834   12.836    0.550    0.179   -1.177    0.550    0.179   -0.211   -0.648    0.099    0.860    0.344
   0.40   12.776   12.789   12.791    0.572    0.254   -1.224    0.572    0.254   -0.311   -0.700    0.145    0.945    0.390
   0.45   12.965   12.983   12.989    0.687    0.384   -1.035    0.687    0.384   -0.398   -0.711    0.264    0.845    0.428
   0.50   12.827   12.863   12.876    0.958    0.587   -1.173    0.958    0.587   -0.688   -1.124    0.562    1.319    0.716
   0.55   12.858   12.889   12.897    0.885    0.460   -1.142    0.885    0.460   -0.525   -1.011    0.407    1.150    0.605
   0.60   12.996   13.015   13.024    0.700    0.486   -1.004    0.700    0.486   -0.488   -0.703    0.341    0.868    0.461
   0.65   12.892   12.920   12.926    0.844    0.412   -1.108    0.844    0.412   -0.456   -0.935    0.348    1.055    0.549
   0.70   12.820   12.844   12.846    0.786    0.262   -1.180    0.786    0.262   -0.309   -0.928    0.206    1.040    0.500
   0.75   12.708   12.739   12.739    0.886    0.085   -1.292    0.886    0.085   -0.110   -1.145    0.075    1.231    0.576
   0.80   12.688   12.716   12.717    0.849    0.136   -1.312    0.849    0.136   -0.179   -1.114    0.116    1.231    0.567
   0.85   12.627   12.646   12.646    0.696    0.094   -1.373    0.696    0.094   -0.129   -0.955    0.065    1.189    0.483
   0.90   12.906   12.926   12.929    0.720    0.292   -1.094    0.720    0.292   -0.320   -0.788    0.211    0.901    0.438
   0.95   12.852   12.866   12.871    0.585    0.372   -1.148    0.585    0.372   -0.427   -0.671    0.218    0.899    0.412
   1.00   12.703   12.719   12.727    0.648    0.444   -1.297    0.648    0.444   -0.577   -0.841    0.288    1.151    0.530
   1.05   12.625   12.636   12.640    0.517    0.332   -1.375    0.517    0.332   -0.456   -0.711    0.171    1.134    0.431
   1.10   12.614   12.627   12.632    0.574    0.362   -1.386    0.574    0.362   -0.502   -0.796    0.208    1.191    0.482
   1.15   12.592   12.601   12.602    0.465    0.170   -1.408    0.465    0.170   -0.239   -0.654    0.079    1.113    0.350
