   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   19.480   19.513   19.515    1.134   -0.289   -2.520    1.134   -0.289    0.729   -2.856   -0.328    3.860    1.483
   0.05   19.634   19.659   19.661    0.990   -0.333   -2.366    0.990   -0.333    0.789   -2.342   -0.330    3.345    1.247
   0.10   19.720   19.750   19.751    1.080   -0.178   -2.280    1.080   -0.178    0.406   -2.463   -0.192    3.198    1.252
   0.15   20.026   20.058   20.058    1.138    0.051   -1.974    1.138    0.051   -0.101   -2.246    0.058    2.597    1.124
   0.20   20.050   20.071   20.072    0.924    0.027   -1.950    0.924    0.027   -0.053   -1.802    0.025    2.328    0.902
   0.25   20.181   20.210   20.211    1.086   -0.209   -1.819    1.086   -0.209    0.380   -1.975   -0.227    2.266    1.012
   0.30   20.494   20.508   20.509    0.772   -0.105   -1.506    0.772   -0.105    0.159   -1.163   -0.081    1.438    0.588
   0.35   20.328   20.347   20.349    0.888    0.282   -1.672    0.888    0.282   -0.472   -1.486    0.251    1.833    0.789
   0.40   20.241   20.262   20.267    0.928    0.408   -1.759    0.928    0.408   -0.718   -1.632    0.379    2.061    0.912
   0.45   20.586   20.617   20.627    1.138    0.634   -1.414    1.138    0.634   -0.897   -1.609    0.722    1.849    0.989
   0.50   20.334   20.399   20.424    1.634    0.995   -1.666    1.634    0.995   -1.658   -2.722    1.626    3.218    1.789
   0.55   20.391   20.446   20.460    1.502    0.759   -1.609    1.502    0.759   -1.222   -2.417    1.141    2.711    1.469
   0.60   20.643   20.675   20.691    1.166    0.804   -1.357    1.166    0.804   -1.092   -1.583    0.938    1.925    1.070
   0.65   20.454   20.504   20.515    1.430    0.668   -1.546    1.430    0.668   -1.032   -2.212    0.955    2.441    1.310
   0.70   20.322   20.365   20.369    1.326    0.395   -1.678    1.326    0.395   -0.662   -2.225    0.523    2.365    1.190
   0.75   20.119   20.176   20.176    1.510    0.074   -1.881    1.510    0.074   -0.139   -2.840    0.111    2.912    1.423
   0.80   20.084   20.135   20.136    1.445    0.165   -1.916    1.445    0.165   -0.316   -2.769    0.238    2.894    1.399
   0.85   19.973   20.007   20.008    1.168    0.085   -2.027    1.168    0.085   -0.172   -2.366    0.099    2.739    1.187
   0.90   20.484   20.520   20.525    1.215    0.441   -1.516    1.215    0.441   -0.668   -1.842    0.536    1.985    1.016
   0.95   20.388   20.411   20.419    0.972    0.581   -1.612    0.972    0.581   -0.936   -1.566    0.564    1.940    0.955
   1.00   20.116   20.146   20.158    1.091    0.709   -1.884    1.091    0.709   -1.336   -2.054    0.773    2.620    1.285
   1.05   19.977   19.995   20.001    0.854    0.503   -2.023    0.854    0.503   -1.017   -1.727    0.429    2.538    1.025
   1.10   19.957   19.980   19.988    0.961    0.557   -2.043    0.961    0.557   -1.139   -1.962    0.536    2.703    1.166
   1.15   19.920   19.935   19.936    0.765    0.208   -2.080    0.765    0.208   -0.432   -1.590    0.159    2.477    0.828
   1.20   19.774   19.794   19.795    0.872    0.269   -2.226    0.872    0.269   -0.599   -1.941    0.235    2.893    1.022
   1.25   19.798   19.835   19.835    1.210    0.148   -2.202    1.210    0.148   -0.325   -2.664    0.179    3.168    1.345
   1.30   19.753   19.771   19.772    0.832    0.240   -2.247    0.832    0.240   -0.539   -1.870    0.199    2.899    0.978
   1.35   19.958   19.982   19.982    0.979    0.104   -2.042    0.979    0.104   -0.213   -1.999    0.102    2.570    1.006
   1.40   20.257   20.270   20.273    0.728    0.359   -1.743    0.728    0.359   -0.626   -1.269    0.262    1.849    0.720
   1.45   20.408   20.430   20.431    0.959    0.194   -1.592    0.959    0.194   -0.308   -1.527    0.186    1.746    0.784
   1.50   20.476   20.489   20.495    0.729    0.486   -1.524    0.729    0.486   -0.740   -1.111    0.354    1.545    0.691
   1.55   20.443   20.444   20.444    0.233   -0.043   -1.557    0.233   -0.043    0.067   -0.363   -0.010    1.241    0.185
   1.60   20.045   20.047   20.047    0.264    0.090   -1.955    0.264    0.090   -0.176   -0.517    0.024    1.950    0.273
   1.65   19.995   19.997   20.002    0.254    0.448   -2.005    0.254    0.448   -0.899   -0.510    0.114    2.142    0.520
   1.70   20.449   20.455   20.455    0.506    0.016   -1.551    0.506    0.016   -0.025   -0.784    0.008    1.331    0.392
   1.75   20.299   20.312   20.312    0.717    0.162   -1.701    0.717    0.162   -0.275   -1.221    0.116    1.717    0.628
   1.80   20.159   20.164   20.166    0.444    0.264   -1.841    0.444    0.264   -0.487   -0.818    0.117    1.828    0.479
   1.85   20.433   20.435   20.435    0.222    0.035   -1.567    0.222    0.035   -0.054   -0.348    0.008    1.252    0.176
   1.90   20.282   20.283   20.283    0.139    0.093   -1.718    0.139    0.093   -0.160   -0.239    0.013    1.489    0.144
   1.95   20.392   20.393   20.399   -0.241    0.502   -1.608   -0.241    0.502   -0.808    0.388   -0.121    1.449    0.452
   2.00   20.389   20.404   20.424   -0.773    0.901   -1.611   -0.773    0.901   -1.452    1.246   -0.697    2.002    1.018
   2.05   20.223   20.236   20.270   -0.728    1.179   -1.777   -0.728    1.179   -2.095    1.294   -0.858    2.539    1.304
   2.10   20.317   20.330   20.347   -0.729    0.850   -1.683   -0.729    0.850   -1.431    1.227   -0.620    2.044    0.992
   2.15   19.961   19.963   19.998   -0.306    1.174   -2.039   -0.306    1.174   -2.394    0.625   -0.360    2.815    1.250
   2.20   20.158   20.159   20.200   -0.152    1.281   -1.842   -0.152    1.281   -2.358    0.279   -0.194    2.527    1.191
   2.25   20.582   20.585   20.609   -0.325    0.986   -1.418   -0.325    0.986   -1.398    0.460   -0.320    1.544    0.753
   2.30   20.541   20.553   20.586   -0.710    1.160   -1.459   -0.710    1.160   -1.692    1.036   -0.824    1.989    1.074
   2.35   20.686   20.690   20.723   -0.406    1.156   -1.314   -0.406    1.156   -1.519    0.533   -0.469    1.614    0.838
   2.40   20.913   20.922   20.962   -0.622    1.305   -1.087   -0.622    1.305   -1.419    0.676   -0.812    1.636    0.885
   2.45   20.771   20.785   20.806   -0.762    0.922   -1.229   -0.762    0.922   -1.132    0.936   -0.702    1.469    0.814
   2.50   21.013   21.017   21.029   -0.413    0.714   -0.987   -0.413    0.714   -0.705    0.407   -0.294    0.827    0.433
   2.55   20.852   20.856   20.884   -0.423    1.069   -1.148   -0.423    1.069   -1.226    0.486   -0.452    1.319    0.697
   2.60   20.786   20.806   20.823   -0.923    0.836   -1.214   -0.923    0.836   -1.015    1.121   -0.772    1.512    0.849
