   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   24.057   24.347   24.349   -3.743    0.350    1.057   -3.743    0.350    0.369   -3.956   -1.308    7.624    2.092
   0.05   24.128   24.514   24.529   -4.331    0.880    1.128   -4.331    0.880    0.992   -4.885   -3.809   10.400    3.137
   0.10   25.242   25.517   25.568   -3.741    1.612    2.242   -3.741    1.612    3.615   -8.386   -6.032   10.810    5.472
   0.15   25.292   25.664   25.681   -4.354    0.954    2.292   -4.354    0.954    2.186   -9.977   -4.153   12.558    5.513
   0.20   24.954   25.166   25.203   -3.256    1.368    1.954   -3.256    1.368    2.672   -6.363   -4.453    8.145    4.107
   0.25   25.640   25.795   25.802   -2.824    0.591    2.640   -2.824    0.591    1.561   -7.455   -1.670    7.646    3.899
   0.30   26.354   26.484   26.502   -2.624    0.966    3.354   -2.624    0.966    3.240   -8.801   -2.535    9.534    4.858
   0.35   25.648   25.852   25.859   -3.235    0.616    2.648   -3.235    0.616    1.632   -8.568   -1.994    8.930    4.473
   0.40   24.520   24.774   24.774   -3.538   -0.191    1.520   -3.538   -0.191   -0.290   -5.376    0.676    7.432    2.713
   0.45   24.760   24.932   24.938   -2.919    0.581    1.760   -2.919    0.581    1.023   -5.137   -1.696    5.977    2.753
   0.50   24.887   25.114   25.115   -3.367   -0.154    1.887   -3.367   -0.154   -0.290   -6.355    0.517    7.461    3.191
   0.55   24.388   24.608   24.621   -3.283   -0.782    1.388   -3.283   -0.782   -1.085   -4.558    2.566    6.658    2.671
   0.60   24.419   24.697   24.720   -3.694   -1.070    1.419   -3.694   -1.070   -1.519   -5.243    3.953    8.402    3.370
   0.65   23.568   23.933   23.933   -4.164    0.089    0.568   -4.164    0.089    0.050   -2.365   -0.370    8.833    1.197
   0.70   22.174   22.367   22.373   -2.928    0.539   -0.826   -2.928    0.539   -0.445    2.417   -1.577    4.773    1.460
   0.75   22.716   22.952   22.952   -3.282    0.054   -0.284   -3.282    0.054   -0.015    0.931   -0.177    5.427    0.474
   0.80   22.931   23.376   23.379   -4.538   -0.376   -0.069   -4.538   -0.376    0.026    0.312    1.706   10.371    0.867
   0.85   22.487   22.862   22.899   -4.120   -1.300   -0.513   -4.120   -1.300    0.666    2.112    5.354    9.462    2.897
   0.90   23.380   23.851   23.854   -4.716   -0.378    0.380   -4.716   -0.378   -0.144   -1.794    1.781   11.265    1.266
   0.95   23.522   23.866   23.886   -4.035   -0.981    0.522   -4.035   -0.981   -0.512   -2.107    3.957    8.757    2.256
   1.00   23.232   23.597   23.615   -4.131   -0.935    0.232   -4.131   -0.935   -0.217   -0.959    3.861    8.996    1.992
   1.05   23.828   24.181   24.184   -4.116   -0.410    0.828   -4.116   -0.410   -0.339   -3.408    1.686    8.897    1.909
   1.10   23.210   23.612   23.618   -4.339   -0.508    0.210   -4.339   -0.508   -0.107   -0.913    2.203    9.563    1.193
   1.15   23.554   23.902   23.902   -4.063    0.121    0.554   -4.063    0.121    0.067   -2.251   -0.494    8.416    1.153
   1.20   23.428   23.780   23.785   -4.076    0.469    0.428   -4.076    0.469    0.201   -1.745   -1.912    8.510    1.298
   1.25   23.034   23.382   23.383   -4.020    0.192    0.034   -4.020    0.192    0.007   -0.137   -0.770    8.101    0.391
   1.30   23.712   24.039   24.061   -3.956   -1.028    0.712   -3.956   -1.028   -0.731   -2.815    4.066    8.607    2.500
   1.35   23.264   23.600   23.624   -3.971   -1.057    0.264   -3.971   -1.057   -0.279   -1.047    4.198    8.479    2.168
   1.40   22.375   22.660   22.671   -3.587   -0.689   -0.625   -3.587   -0.689    0.431    2.243    2.472    6.868    1.683
   1.45   22.401   22.634   22.673   -3.238   -1.321   -0.599   -3.238   -1.321    0.791    1.939    4.278    6.295    2.381
   1.50   22.576   22.865   22.865   -3.623    0.158   -0.424   -3.623    0.158   -0.067    1.537   -0.572    6.664    0.821
   1.55   22.103   22.362   22.363   -3.397    0.166   -0.897   -3.397    0.166   -0.149    3.048   -0.564    6.186    1.552
   1.60   20.993   21.258   21.281   -3.346   -0.988   -2.007   -3.346   -0.988    1.983    6.716    3.306    8.101    3.872
   1.65   21.373   21.630   21.651   -3.323   -0.963   -1.627   -3.323   -0.963    1.567    5.406    3.201    7.308    3.238
   1.70   20.620   20.900   20.901   -3.412   -0.198   -2.380   -3.412   -0.198    0.471    8.120    0.676    8.672    4.081
   1.75   20.263   20.619   20.625   -3.815   -0.508   -2.737   -3.815   -0.508    1.392   10.442    1.940   11.152    5.356
   1.80   21.012   21.216   21.227   -2.939   -0.663   -1.988   -2.939   -0.663    1.319    5.844    1.950    6.515    3.150
   1.85   22.116   22.416   22.431   -3.653   -0.825   -0.884   -3.653   -0.825    0.730    3.229    3.015    7.403    2.239
   1.90   23.067   23.462   23.472   -4.289   -0.676    0.067   -4.289   -0.676   -0.045   -0.287    2.900    9.431    1.457
   1.95   22.737   23.156   23.175   -4.380   -0.942   -0.263   -4.380   -0.942    0.247    1.150    4.126   10.071    2.145
   2.00   23.364   23.693   23.732   -3.933   -1.366    0.364   -3.933   -1.366   -0.498   -1.433    5.374    8.734    2.792
   2.05   23.365   23.645   23.652   -3.624   -0.599    0.365   -3.624   -0.599   -0.219   -1.323    2.172    6.812    1.276
   2.10   23.812   24.054   24.084   -3.402   -1.208    0.812   -3.402   -1.208   -0.980   -2.761    4.109    6.845    2.523
   2.15   23.526   23.771   23.853   -3.405   -1.973    0.526   -3.405   -1.973   -1.037   -1.790    6.718    7.882    3.515
   2.20   23.027   23.357   23.428   -3.913   -1.821    0.027   -3.913   -1.821   -0.049   -0.106    7.125    9.314    3.563
   2.25   22.993   23.279   23.335   -3.638   -1.628   -0.007   -3.638   -1.628    0.012    0.027    5.922    7.941    2.961
   2.30   22.528   22.893   22.905   -4.068   -0.761   -0.472   -4.068   -0.761    0.359    1.919    3.095    8.675    1.830
   2.35   23.906   24.251   24.286   -4.075   -1.304    0.906   -4.075   -1.304   -1.181   -3.691    5.312    9.561    3.287
   2.40   24.177   24.428   24.475   -3.493   -1.514    1.177   -3.493   -1.514   -1.781   -4.111    5.289    7.940    3.466
   2.45   22.572   22.735   22.747   -2.713   -0.751   -0.428   -2.713   -0.751    0.321    1.160    2.039    4.053    1.184
   2.50   22.422   22.508   22.567   -1.969   -1.637   -0.578   -1.969   -1.637    0.947    1.139    3.223    3.445    1.773
   2.55   23.092   23.179   23.236   -1.999   -1.638    0.092   -1.999   -1.638   -0.151   -0.184    3.274    3.344    1.642
   2.60   22.472   22.572   22.587   -2.116   -0.822   -0.528   -2.116   -0.822    0.434    1.117    1.740    2.716    1.056
   2.65   22.418   22.631   22.674   -3.098   -1.386   -0.582   -3.098   -1.386    0.807    1.803    4.295    5.929    2.364
   2.70   23.639   23.813   23.840   -2.876   -1.123    0.639   -2.876   -1.123   -0.718   -1.837    3.230    4.969    1.892
   2.75   23.271   23.457   23.462   -2.950   -0.497    0.271   -2.950   -0.497   -0.135   -0.799    1.465    4.511    0.837
   2.80   22.999   23.109   23.117   -2.247   -0.596   -0.001   -2.247   -0.596    0.000    0.001    1.339    2.703    0.669
   2.85   23.148   23.293   23.321   -2.603   -1.139    0.148   -2.603   -1.139   -0.168   -0.384    2.964    4.046    1.497
   2.90   23.257   23.379   23.420   -2.390   -1.391    0.257   -2.390   -1.391   -0.357   -0.613    3.323    3.855    1.699
   2.95   22.682   22.820   22.832   -2.509   -0.740   -0.318   -2.509   -0.740    0.236    0.799    1.858    3.473    1.018
   3.00   21.499   21.628   21.635   -2.359   -0.520   -1.501   -2.359   -0.520    0.780    3.540    1.227    4.043    1.913
   3.05   20.866   21.175   21.191   -3.600   -0.841   -2.134   -3.600   -0.841    1.794    7.682    3.027    9.111    4.225
   3.10   20.233   20.669   20.681   -4.224   -0.708   -2.767   -4.224   -0.708    1.959   11.689    2.990   13.000    6.112
   3.15   20.619   20.945   20.958   -3.680   -0.737   -2.381   -3.680   -0.737    1.754    8.763    2.711    9.878    4.669
   3.20   20.510   20.697   20.697   -2.773    0.121   -2.490   -2.773    0.121   -0.302    6.904   -0.337    6.952    3.459
   3.25   21.777   21.986   21.987   -3.021   -0.189   -1.223   -3.021   -0.189    0.231    3.694    0.572    5.330    1.872
   3.30   21.976   22.197   22.199   -3.130   -0.244   -1.024   -3.130   -0.244    0.250    3.206    0.764    5.452    1.653
   3.35   22.522   22.596   22.606   -1.821   -0.673   -0.478   -1.821   -0.673    0.321    0.870    1.225    1.998    0.768
   3.40   23.343   23.459   23.473   -2.329   -0.797    0.343   -2.329   -0.797   -0.274   -0.799    1.857    3.089    1.020
   3.45   23.064   23.242   23.249   -2.874    0.549    0.064   -2.874    0.549    0.035   -0.183   -1.578    4.282    0.795
   3.50   23.292   23.524   23.524   -3.294    0.143    0.292   -3.294    0.143    0.042   -0.961   -0.472    5.479    0.536
   3.55   23.048   23.356   23.356   -3.781    0.069    0.048   -3.781    0.069    0.003   -0.180   -0.263    7.152    0.159
   3.60   22.934   23.189   23.190   -3.426    0.279   -0.066   -3.426    0.279   -0.018    0.226   -0.958    5.911    0.492
   3.65   22.938   23.186   23.201   -3.384   -0.847   -0.062   -3.384   -0.847    0.053    0.211    2.867    6.086    1.438
   3.70   21.827   22.068   22.100   -3.254   -1.188   -1.173   -3.254   -1.188    1.394    3.818    3.864    6.686    2.804
   3.75   22.441   22.631   22.677   -2.925   -1.444   -0.559   -2.925   -1.444    0.806    1.634    4.222    5.475    2.299
   3.80   22.498   22.627   22.686   -2.413   -1.640   -0.502   -2.413   -1.640    0.823    1.211    3.957    4.382    2.110
   3.85   22.152   22.273   22.285   -2.316   -0.741   -0.848   -2.316   -0.741    0.629    1.964    1.717    3.316    1.342
   3.90   22.681   22.787   22.827   -2.190   -1.359   -0.319   -2.190   -1.359    0.433    0.698    2.977    3.373    1.544
   3.95   23.300   23.390   23.430   -2.043   -1.373    0.300   -2.043   -1.373   -0.412   -0.614    2.804    3.074    1.450
